"id_song","name_song","count_p","author","id_folder","one_voice","actual","note","views"
"352","Ascendit Deus","28","Witt F.X.","69","0","0",,"87"
"353","Ku Tobie Panie wznosim spiew","49","Wood Ch./Szulik M.R.","69","0","0",,"73"
"354","Aeterne Rex","40","Horak W.","70","0","0",,"64"
"355","Tu Trinitatis unitas","42","Dvorak A.","70","0","0",,"71"
"356","Spiritus sancti gratia","40","Vulpius M.","70","0","0",,"63"
"357","Aeterne Rex","45","Surzyński J.","70","0","0",,"68"
"358","O lux beata Trinitas","25","Archer M./Szulik M.R.","70","0","0",,"68"
"359","Boże obdarz Kościół‚ Twój","31","Szulik M.R.","71","0","0",,"111"
"360","Introibo ad altare","41","Szulik M.R.","71","0","0",,"70"
"363","Te gloriosus","39","Szulik M.R.","71","0","0",,"103"
"364","Quam dilecta tabernacula","26","Szulik M.R.","71","0","0",,"81"
"365","Sługo sług Bożych","62","Szulik M.R.","71","0","0",,"64"
"366","Boże obdarz-wersety","75","Szulik M.R.","71","0","0",,"129"
"368","Żyjąć mocą chrztu","61","Szulik M.R.","71","0","0",,"81"
"369","Exsurge Domine","47","Harmat A.","11","0","0",,"74"
"370","Deus, Tu convertens","38","Halmos L.","11","0","0",,"79"
"371","Jesu dulcis memoria","22","Bardos L.","11","0","0",NULL,"80"
"372","Invocabit me","107","Szulik M.R.","11","0","0",,"76"
"373","Sperent in te","77","Bardos L.","11","0","1",,"537"
"374","Respice Domine","51","Szulik M.R.","11","0","0",,"82"
"375","Meditabor","53","Witt F.X.","11","0","0",,"78"
"377","Totus Tuus","27","Górecki  H.M.","74","0","0",,"69"
"378","Alleluja","29","Mawby C.","43","0","0",,"86"
"379","Wsród nocnej ciszy","34","Maklakiewicz J.","2","0","0",NULL,"77"
"380","Ave Verum","60","Elgar E.","48","0","0",NULL,"71"
"381","Duchu Święty & O, Stworzycielu Duchu","16"," - ","8","0","0",,"66"
"382","In feriis per annum","24"," - ","8","0","0",NULL,"74"
"383","Przystąpie do ołtarza Bożego","18","Gileneau J.","8","0","0",,"77"
"384","Ja jestem bramą","45","Szulik M.R.","68","0","0",,"79"
"385","Chrystus Zmartwychwstan jest","24"," - ","8","0","0",NULL,"68"
"386","Niech w święto radosne","35","Pawlak I.","8","0","0",,"62"
"387","Nawróć się ludu","30","Szulik M.R.","34","0","0",,"101"
"388","Wesoły nam dzień","31"," - ","8","0","0",,"81"
"389","Przykazanie nowe daję wam","27"," - ","8","0","0",,"75"
"390","Matko niebieskiego Pana","30","Szulik M.R.","63","0","0",,"93"
"391","Panie pragnienia ludzkich serc","36","Kreutz R.E.","8","0","0",NULL,"86"
"426","Popule meus","40","Victoria L.","3","0","0",,"77"
"428","Alleluja Kanon","30","Kanon","43","0","0",,"77"
"429","Maryjo, ja Twe dziecię","40","Chlondowski A.","16","0","0","opr. na SABr","269"
"430","Chrystus Pan w niebo wstępuje","30","Chlondowski A./Szulik M.R.","14","0","0",,"76"
"434","Niech Cię Pan błogosławi i strzeże","20","Rutter J.","71","0","0","Wersja 3 gł","135"
"435","O sacrum convivium","30","Molfino Giuseppe","7","0","1",,"328"
"436","Hejnał wszyscy zaśpiewajmy","30","Kwaitkowski/Szulik","44","0","0",,"140"
"438","Pasterze mili","35","Hoffman A.","57","0","0",,"243"
"440","Anioł pasterzom","35","Hoffman A.","57","0","0",,"451"
"441","Bóg zawitał","35","Hoffman A.","57","0","0",,"296"
"442","Stała Matka","35","Hoffman A.","34","0","0",,"193"
"444","Tyś w wieczerniku","35","Hoffman A. opr.","46","0","0",,"192"
"445","Krzyżu święty","35","Hoffman A.","36","0","0",,"442"
"446","Pasja wg św. Mateusza tenor","40","Hoffman A.","37","0","0",,"170"
"447","Pasja wg św. Mateusza alt","40","Hoffman A.","37","0","0",,"130"
"448","Pasja wg św. Mateusza sopran","40","Hoffman A.","36","0","0",,"55"
"449","Pasja wg św. Mateusza bas","40","Hoffman A.","37","0","0",,"10"
"450","Przybądź Duchu Święty","40","R.Atroszczak/M.Szulik","14","0","0",,"68"
"451","Niebiosa głoszą","40","Frisina M.","22","0","0",,"124"
"452","Supplices,Te rogamus","40","Frisina M.","68","0","0",,"248"
"453","Matko Niebieskiego 2023","45","Szulik M. opr","63","0","0",,"114"
"456","O crux, ave","40","Dubra R.","5","0","0",,"141"
"457","Laudate Dominum","40","Nystedt K.","22","0","1",,"311"
"458","Requiem op. 48 sopran","1","Faure G.","8","0","0",,"106"
"459","Requiem op. 48 alt","1","Faure G.","8","0","0",,"72"
"460","Requiem op. 48 tenor 1","1","Faure G.","8","0","0",,"26"
"461","Requiem op. 48 tenor 2","1","Faure G.","8","0","0",,"164"
"462","Requiem op. 48 bas 1","1","Faure G.","8","0","0",,"24"
"464","Requiem op. 48 bas 2","1","Faure G.","8","0","0",,"11"
"465","O crux Ave","20","Dubra R.","6","0","0",,"0"
"466","Locus iste","40","Stopford Ph.","68","0","0",,"152"
"467","Weź w swą opiekę","40","Rączkowski F/Szulik M.","63","0","0",,"86"
